time,ps_waveform,ps_bpm,cam_waveform_red,cam_waveform_green,cam_bpm
0.067325,30,54,89.528592,161.43112,0
0.096559,29,54,89.433232,161.380688,0
0.127341,30,54,89.373792,161.186544,0
0.158161,32,54,89.41872,160.95328,0
0.189164,36,54,89.448992,160.778784,0
0.221952,41,54,89.447216,160.702144,0
0.251238,48,54,89.928848,160.768496,0
0.282399,56,54,90.178192,160.80944,0
0.312468,64,54,90.31104,160.786064,0
0.343576,69,54,90.299616,160.847616,0
0.375988,73,54,90.339968,160.950368,0
0.407355,74,54,89.9944,161.070832,0
0.436257,74,54,89.869776,161.127184,0
0.466625,73,54,89.69328,161.121968,0
0.49749,71,54,89.630256,161.003584,0
0.529948,68,53,89.628656,160.867456,0
0.559151,65,53,89.908288,160.810048,0
0.590584,62,53,90.187088,160.852912,0
0.621953,59,53,90.263264,160.857424,0
0.651934,55,53,90.321216,160.875472,0
0.684232,52,53,90.347056,160.924048,0
0.713434,48,53,90.257472,160.972864,0
0.746983,45,53,90.269568,161.046768,0
0.776514,42,53,90.232608,161.06928,0
0.806429,40,53,90.22088,161.08192,0
0.838351,39,53,90.173808,161.119488,0
0.86777,39,53,90.3156,161.17616,0
0.898488,40,53,90.282656,161.210048,0
0.929923,41,53,90.293744,161.22664,0
0.961119,43,53,90.328112,161.279472,0
0.99275,45,53,90.350768,161.29688,0
1.02197,47,53,90.044992,161.30056,0
1.053351,48,53,89.958704,161.387696,0
1.083993,49,53,89.895728,161.431424,0
1.115105,49,53,89.848976,161.455872,0
1.146981,48,53,89.89872,161.466192,0
1.176472,47,53,89.38448,161.546224,0
1.206933,46,53,89.109936,161.613984,0
1.237804,45,53,89.01736,161.556528,0
1.269771,43,53,89.009888,161.37008,0
1.301276,42,53,88.987168,161.090848,0
1.330337,40,53,89.276736,160.886992,0
1.361189,40,53,89.488288,160.849824,0
1.392002,38,53,89.587152,160.940032,0
1.423173,37,53,89.627568,161.05272,0
1.457017,35,53,89.627088,161.111136,0
1.486534,34,53,89.575456,161.1856,0
1.51556,33,53,89.454512,161.233968,0
1.546255,32,53,89.40824,161.349456,0
1.577165,31,53,89.403888,161.404176,0
1.609937,30,53,89.332432,161.390544,0
1.640318,30,53,89.752592,161.279296,0
1.670123,29,53,89.965536,161.213632,0
1.700595,29,53,90.051728,161.196544,0
1.731331,29,53,90.050896,161.195888,0
1.764164,29,53,90.171104,161.2476,0
1.794856,29,53,89.982672,161.337008,0
1.824469,29,53,89.91568,161.408928,0
1.855236,29,53,89.96752,161.476032,0
1.885742,30,53,89.882928,161.530928,0
1.918069,30,53,89.859312,161.642448,0
1.947515,31,53,90.342624,161.746208,0
1.991962,31,53,90.680224,161.816656,0
2.009366,32,53,90.722064,161.822608,0
2.040574,32,53,90.762816,161.885488,0
2.072302,32,53,90.878,161.943152,0
2.101615,32,53,90.251568,162.0756,0
2.132526,32,53,89.946432,162.144016,0
2.165086,32,53,89.763264,162.220864,0
2.195804,31,53,89.711968,162.283584,0
2.226478,31,53,89.628624,162.299456,0
2.25571,32,53,89.59264,162.379296,0
2.28665,34,53,89.675184,162.4004,0
2.317541,38,53,89.546176,162.427696,0
2.34828,43,53,89.570576,162.464016,0
