time,ps_waveform,ps_bpm,cam_waveform_red,cam_waveform_green,cam_bpm
0.092302,26,60,83.62841875,150.038125,0
0.121675,26,60,83.1653,149.8334375,0
0.152516,25,60,83.0101625,149.6105625,0
0.183393,25,60,82.87951875,149.403975,0
0.216122,26,60,83.015225,149.31539375,0
0.247683,30,60,82.98421875,149.3249375,0
0.276334,36,60,83.5638625,149.382175,0
0.306749,43,60,83.7962375,149.37451875,0
0.337574,52,60,83.90413125,149.410325,0
0.369811,61,60,83.96611875,149.50803125,0
0.40059,70,60,83.993975,149.5475,0
0.430165,76,60,84.24011875,149.5421625,0
0.461,79,60,84.35341875,149.4949625,0
0.491833,80,60,84.38323125,149.3860125,0
0.522681,79,60,84.42240625,149.33230625,0
0.554992,76,60,84.44211875,149.2909125,0
0.584339,72,60,84.13565,149.2764,0
0.615215,68,60,84.0255125,149.291725,0
0.64606,64,60,83.93438125,149.32210625,0
0.679659,59,60,83.91355625,149.33723125,0
0.710295,54,60,83.8617125,149.39234375,0
0.739109,49,60,84.06890625,149.42654375,0
0.77079,45,60,84.24829375,149.4951625,0
0.800205,40,60,84.34915,149.50775,0
0.831197,38,60,84.2675,149.4922,0
0.863351,36,60,84.3548125,149.56460625,0
0.89285,35,60,83.97493125,149.5822625,0
0.92382,36,60,83.81455625,149.54619375,0
0.954573,37,60,83.68175,149.58019375,0
0.98548,40,60,83.6836875,149.56696875,0
1.017636,41,60,83.67411875,149.5382875,0
1.047135,44,60,83.83255,149.58461875,0
1.079181,45,60,83.99856875,149.5974125,0
1.108818,46,60,83.96945,149.5709375,0
1.14164,47,60,84.01148125,149.58014375,0
1.173131,46,60,84.03034375,149.57404375,0
1.201825,45,60,83.7942875,149.457675,0
1.232188,44,60,83.62626875,149.16645625,0
1.263052,42,60,83.55963125,148.9194375,0
1.293969,41,60,83.6616875,148.84834375,0
1.326095,40,60,83.68704375,148.88869375,0
1.355492,38,60,83.98710625,148.86978125,0
1.387802,36,60,84.072025,148.88734375,0
1.417175,34,60,84.1919875,149.038075,0
1.448043,32,60,84.34235625,149.2034375,0
1.481668,30,60,84.31866875,149.340075,0
1.509813,29,60,83.97180625,149.4158125,0
1.540611,27,60,83.911425,149.39189375,0
1.571571,26,60,83.66364375,149.3090625,0
1.604699,24,60,83.6808,149.2780625,0
1.635508,23,60,83.719275,149.2408375,0
1.664469,23,60,84.14488125,149.25278125,0
1.696032,22,60,84.30111875,149.26575625,0
1.72576,22,60,84.5193125,149.3105125,0
1.756603,22,60,84.655075,149.40025625,0
1.790127,22,60,84.6461625,149.4159375,0
1.818307,22,60,84.27699375,149.41046875,0
1.849165,22,60,83.991,149.425425,0
1.879957,23,60,84.06144375,149.45228125,0
1.910834,23,60,83.9631875,149.49533125,0
1.943185,24,60,83.82801875,149.5270125,0
1.972603,24,60,83.79555,149.477,0
2.003425,25,60,83.7650875,149.46484375,0
2.03429,25,60,83.677825,149.53806875,0
2.06713,25,60,83.81516875,149.6493875,0
2.099478,25,60,83.773225,149.67801875,0
2.127361,25,60,83.72640625,149.590825,0
2.157582,25,60,83.7066125,149.5363125,0
2.188457,25,60,83.6990125,149.63751875,0
2.219415,27,60,83.85574375,149.73959375,0
2.251508,31,60,83.8251375,149.7913875,0
2.280964,38,60,83.94885625,149.851075,0
2.311906,45,60,83.94799375,149.8373375,0
2.342678,55,60,84.09448125,149.8711375,0
2.373573,65,60,84.03803125,149.84485,0
2.406517,74,60,83.96735,149.79564375,0
2.435264,79,60,83.697375,149.5654625,0
2.466019,82,60,83.550025,149.2651125,0
2.498231,82,60,83.51245,149.07065,0
2.529916,81,60,83.52450625,149.03125,0
2.561113,78,60,83.520875,149.0488125,0
2.589954,74,60,83.65824375,149.122825,0
2.62039,70,60,83.75723125,149.2368875,0
2.651082,65,60,83.89541875,149.4313875,0
2.682092,61,60,83.8267625,149.62778125,0
2.714228,56,60,83.932625,149.72465625,0
2.743738,52,60,84.21653125,149.86829375,0
2.774636,47,60,84.44313125,149.9668125,0
2.806652,44,60,84.53833125,149.94885,0
2.836252,41,60,84.5199375,149.910125,0
2.868463,40,60,84.58273125,149.8956125,0
2.897909,39,60,84.65839375,149.87936875,0
2.928807,40,60,84.66304375,149.84045625,0
2.959779,40,60,84.66808125,149.78661875,0
2.992081,42,60,84.66873125,149.815375,0
3.023891,44,60,84.6646625,149.8287625,0
3.052802,46,60,84.54086875,149.8732,0
3.083114,47,60,84.6664625,149.91490625,0
3.114478,47,60,84.515875,149.98703125,0
3.144813,47,60,84.49718125,150.00193125,0
3.176982,46,60,84.510725,150.0208125,0
3.207789,45,60,84.8561375,150.095675,0
3.237317,44,60,84.9723625,150.1467,0
3.268142,42,60,85.12758125,150.13709375,0
3.298892,40,60,85.1219125,150.1371125,0
3.331218,39,60,85.0329125,150.12859375,0
3.360693,37,60,85.019525,150.16165625,0
3.391576,35,60,84.99539375,150.1695375,0
3.422458,33,60,85.06630625,150.17620625,0
3.455435,31,60,85.0461625,150.17363125,0
3.486314,29,60,85.095875,150.0670375,0
3.516767,28,60,84.95489375,149.8215,0
3.545737,26,60,85.02586875,149.6536125,0
3.576672,25,60,85.0958,149.6735625,0
3.607483,24,60,85.09670625,149.7561125,0
3.639671,23,60,85.15105,149.867225,0
3.669052,23,60,84.5340375,149.889725,0
