time,ps_waveform,ps_bpm,cam_waveform_red,cam_waveform_green,cam_bpm
0.090664,84,60,84.7183125,148.18423125,0
0.11991,83,60,84.73085625,148.25705,0
0.16045,81,60,84.6421875,148.297575,0
0.186616,78,60,84.71953125,148.4078625,0
0.213245,74,60,84.6495625,148.47449375,0
0.244859,69,60,84.61558125,148.496925,0
0.274413,64,60,84.22841875,148.45228125,0
0.305002,58,60,84.04838125,148.43715625,0
0.336018,52,60,83.9747375,148.39318125,0
0.367502,47,60,83.9433625,148.41395625,0
0.399013,41,60,83.89158125,148.42841875,0
0.431781,37,60,84.036425,148.46174375,0
0.462012,33,60,84.137475,148.47180625,0
0.490683,29,60,84.1916,148.51025,0
0.520919,27,60,84.1601625,148.56085,0
0.553342,27,60,84.20888125,148.61589375,0
0.582662,28,60,84.252975,148.67173125,0
0.613517,30,60,84.37425,148.72784375,0
0.644435,32,60,84.31863125,148.7915375,0
0.675215,35,60,84.3130125,148.80593125,0
0.707575,38,60,84.2233,148.82309375,0
0.737052,40,60,84.5952125,148.847725,0
0.76912,40,60,84.77941875,148.90575,0
0.798607,40,60,84.8916375,148.92214375,0
0.829434,40,60,84.86208125,148.929825,0
0.861782,40,60,84.9067125,148.817575,0
0.893517,40,60,84.42026875,148.58761875,0
0.923331,39,60,84.37548125,148.3702625,0
0.953516,37,60,84.28358125,148.261275,0
0.983729,36,60,84.25288125,148.29745,0
1.016105,34,60,84.28838125,148.3903625,0
1.045465,32,60,84.72800625,148.47215625,0
1.076943,30,60,85.02505,148.58406875,0
1.107143,28,60,85.19864375,148.65864375,0
1.137847,27,60,85.136825,148.7686125,0
1.171544,25,60,85.19295,148.83228125,0
1.19976,23,60,84.642225,148.84809375,0
1.230445,22,60,84.42565,148.80253125,0
1.261256,20,60,84.22708125,148.7931875,0
1.2922,19,60,84.17293125,148.747525,0
1.324504,18,60,84.202125,148.75595,0
1.356711,17,60,84.18546875,148.75733125,0
1.385833,16,60,84.1372875,148.83065625,0
1.415914,16,60,84.1969375,148.8664875,0
1.44646,15,60,84.2509375,148.92985,0
1.480161,15,60,84.2981875,148.97873125,0
1.508354,15,60,84.3048625,149.03549375,0
1.538954,15,60,84.492725,149.07549375,0
1.569981,15,60,84.43504375,149.10644375,0
1.600604,18,60,84.44031875,149.141925,0
1.632972,25,60,84.4224875,149.2030125,0
1.662554,34,60,84.8577625,149.2574625,0
1.693212,44,60,84.890325,149.3027125,0
1.724102,57,60,84.9432,149.34401875,0
1.755071,69,60,84.91459375,149.38749375,0
1.787963,80,60,84.911,149.40226875,0
1.821505,87,60,84.5409875,149.3902125,0
1.850616,90,60,84.49835625,149.2477125,0
1.880059,91,60,84.4323375,149.0553,0
1.909389,89,60,84.4721125,148.837025,0
1.941651,86,60,84.47129375,148.7469625,0
1.971025,82,60,84.56976875,148.78708125,0
2.001716,77,60,84.64724375,148.88464375,0
2.032909,72,60,84.6802,148.9340125,0
2.063391,67,60,84.6171875,148.9730375,0
2.095745,61,60,84.621475,149.053625,0
2.125328,55,60,84.38874375,149.17883125,0
2.15599,49,60,84.42745,149.2259,0
2.188161,44,60,84.3584875,149.24083125,0
2.217674,40,60,84.3124,149.1894875,0
2.249988,35,60,84.23796875,149.20178125,0
2.279804,33,60,85.05591875,149.15839375,0
2.312416,31,60,85.4253125,149.17558125,0
2.342038,31,60,85.61971875,149.193575,0
