time,ps_waveform,ps_bpm,cam_waveform_red,cam_waveform_green,cam_bpm
0.085214,71,63,83.10610625,146.1728125,0
0.113953,75,63,81.9499875,143.93065625,0
0.144751,77,63,81.811225,144.00208125,0
0.17687,77,63,81.79104375,144.05875625,0
0.206426,75,63,81.7914,144.14509375,0
0.240869,72,63,81.75430625,144.2314875,0
0.269113,69,63,82.77395,144.28539375,0
0.299382,65,63,83.180125,144.3226,0
0.329689,60,63,83.41350625,144.3073625,0
0.360541,56,63,83.55825,144.3305625,0
0.39292,51,63,83.593825,144.3242375,0
0.422239,47,63,82.54290625,144.29593125,0
0.453162,42,63,81.95368125,144.30979375,0
0.485339,40,63,81.5403375,144.3570625,0
0.514865,37,63,81.5135125,144.3912,0
0.547048,35,63,81.4145,144.4321375,0
0.576659,34,63,81.3807375,144.49785625,0
0.607321,35,63,81.51795,144.5636875,0
0.638175,36,63,81.54135,144.60498125,0
0.669068,38,63,81.472875,144.6672375,0
0.701818,40,63,81.5427875,144.68526875,0
0.731769,40,63,81.7750125,144.75253125,0
0.762344,42,63,81.980375,144.798,0
0.793243,43,63,82.01716875,144.80275,0
0.823242,43,63,81.9974,144.8289125,0
0.855619,43,63,81.96899375,144.8573625,0
0.886241,42,63,82.34924375,144.9189,0
0.915918,42,63,82.591525,145.01289375,0
0.946724,40,63,82.68364375,145.0278375,0
0.977562,40,63,82.66616875,145.08605625,0
1.009759,38,63,82.68409375,145.11336875,0
1.039258,37,63,82.39919375,145.15513125,0
1.069988,35,63,82.27119375,145.17584375,0
1.100839,33,63,82.1820625,145.17435625,0
1.131789,32,63,82.10483125,145.05600625,0
1.165059,30,63,82.14768125,144.87965625,0
1.195855,28,63,82.43608125,144.74851875,0
1.224942,27,63,82.551625,144.75535625,0
1.255154,25,63,82.58636875,144.77061875,0
1.286001,24,63,82.57050625,144.86136875,0
1.318375,23,63,82.52366875,144.9087,0
1.347687,22,63,82.266375,145.02806875,0
1.378548,21,63,82.14505,145.09763125,0
1.409449,20,63,82.07726875,145.17655625,0
1.440181,20,63,82.0004375,145.21085,0
1.472479,20,63,81.97841875,145.24826875,0
1.502608,20,63,81.46743125,145.24255625,0
1.532834,20,63,81.26935,145.26173125,0
1.563632,20,63,81.1632625,145.221075,0
1.595908,21,63,81.02163125,145.25563125,0
1.627306,21,63,81.03835,145.2667,0
1.657578,22,63,81.83291875,145.32233125,0
1.68764,22,63,82.3213375,145.38868125,0
1.717844,22,63,82.43688125,145.421925,0
1.748701,22,63,82.5550125,145.463675,0
1.780991,23,63,82.60609375,145.51574375,0
1.810382,23,63,82.41386875,145.5687875,0
1.841308,23,63,82.29745625,145.61994375,0
1.872155,23,63,82.2535625,145.68106875,0
1.90429,22,63,82.22795625,145.73344375,0
1.935266,22,63,82.18199375,145.7562625,0
1.964786,22,63,82.29175,145.80635625,0
1.995563,21,63,82.37445,145.84393125,0
2.026341,21,63,82.43566875,145.86619375,0
2.057262,22,63,82.4299625,145.89393125,0
2.089841,26,63,82.4222,145.952225,0
2.120777,33,63,82.314875,145.9969625,0
2.150573,40,63,82.30308125,145.9986375,0
2.180568,50,63,82.29271875,145.88016875,0
2.212136,61,63,82.18953125,145.71898125,0
2.243748,71,63,82.33504375,145.59159375,0
2.273131,78,63,82.44235625,145.54473125,0
2.305268,82,63,82.5281125,145.5766625,0
2.334841,84,63,82.58505,145.6308875,0
2.365714,84,63,82.54169375,145.68954375,0
2.397973,82,63,82.533775,145.689525,0
2.427449,79,63,82.62363125,145.78664375,0
2.458227,75,63,82.7023125,145.85301875,0
2.489025,71,63,82.76436875,145.91729375,0
2.519942,66,63,82.75563125,145.9393125,0
2.55237,62,63,82.705425,145.94774375,0
2.583744,57,63,82.2098125,145.92316875,0
2.61503,52,63,81.86045,145.85713125,0
2.643392,47,63,81.715225,145.82100625,0
2.674148,43,63,81.6203,145.84225,0
2.706467,40,63,81.6004875,145.86545,0
2.735879,38,63,81.80280625,145.94208125,0
2.766797,36,63,81.80804375,145.94750625,0
2.797636,36,63,81.8168375,146.00883125,0
2.828411,37,63,81.9104875,146.07586875,0
2.860577,39,63,81.9611875,146.13544375,0
2.890143,40,63,81.5824,146.11224375,0
2.92157,42,63,81.52985,146.1762875,0
2.95179,43,63,81.32885625,146.157375,0
2.982732,44,63,81.27965,146.19660625,0
3.016423,45,63,81.2207875,146.2417,0
3.046996,45,63,81.03951875,146.28039375,0
3.076348,44,63,80.98581875,146.297325,0
3.106038,43,63,80.8879,146.2729625,0
3.136974,42,63,80.8602375,146.26966875,0
3.169227,41,63,80.833925,146.2879875,0
3.19861,40,63,81.29926875,146.25683125,0
3.229465,38,63,81.39486875,146.092275,0
3.260351,36,63,81.60623125,145.84145,0
3.291098,34,63,81.8263375,145.6745,0
3.324746,32,63,81.8384875,145.6647375,0
3.352911,30,63,81.705075,145.62609375,0
3.383699,28,63,81.61158125,145.65600625,0
3.414588,27,63,81.5567375,145.673525,0
3.44547,25,63,81.5743,145.70939375,0
3.477678,23,63,81.52809375,145.77529375,0
3.509211,22,63,81.75285,145.80525,0
3.539012,21,63,81.8094,145.809675,0
3.568831,20,63,81.89555625,145.7989125,0
3.599671,19,63,81.88458125,145.68391875,0
3.632756,18,63,81.94335625,145.63654375,0
3.66135,18,63,81.6301,145.594425,0
3.692296,18,63,81.66948125,145.5959,0
3.724471,18,63,81.498425,145.60624375,0
3.753953,18,63,81.5531375,145.64721875,0
3.7861,19,63,81.552575,145.667375,0
3.815765,19,63,81.24636875,145.68264375,0
3.846439,20,63,81.0065625,145.73688125,0
3.877378,20,63,80.93975,145.7847875,0
3.908187,21,63,80.92560625,145.79145,0
3.940397,21,63,80.91625,145.82169375,0
3.972408,22,63,81.1998625,145.8813125,0
4.001753,23,63,81.242625,145.9129,0
4.032909,26,63,81.246925,145.94318125,0
4.062337,32,63,81.3332,145.9716,0
4.094768,39,63,81.3796,146.0004125,0
4.1241,47,63,81.26651875,146.0105625,0
4.154949,57,63,81.096025,146.06029375,0
4.185837,66,63,81.15393125,146.14401875,0
4.216622,73,63,81.0786,146.071875,0
4.24886,78,63,81.1136375,145.87761875,0
4.278376,80,63,81.154675,145.64583125,0
4.309189,81,63,81.21153125,145.43885625,0
4.340613,79,63,81.2946125,145.44393125,0
4.370871,77,63,81.322025,145.4819625,0
4.403103,73,63,81.45891875,145.5292375,0
4.436019,69,63,81.43335625,145.60535,0
4.464395,65,63,81.3644375,145.73029375,0
4.494262,60,63,81.38263125,145.7771125,0
4.52502,55,63,81.350525,145.8689875,0
4.557301,50,63,81.35790625,145.8672,0
4.586735,45,63,81.74753125,145.8417625,0
4.617582,40,63,81.78163125,145.71725,0
4.648449,37,63,81.8962125,145.61206875,0
4.679238,35,63,81.98713125,145.6465625,0
4.711542,33,63,81.97975625,145.6409125,0
4.742358,32,63,81.97500625,145.6558,0
4.771834,33,63,81.97553125,145.61615,0
4.802651,35,63,81.96493125,145.637125,0
4.833599,37,63,81.85175625,145.67319375,0
4.866037,39,63,81.88908125,145.70575625,0
4.897093,41,63,82.33810625,145.75863125,0
4.927019,42,63,82.3636,145.80883125,0
4.956993,43,63,82.43951875,145.8556125,0
4.987745,44,63,82.449775,145.85493125,0
5.020299,44,63,82.45795625,145.9138,0
5.050429,43,63,82.56891875,145.92204375,0
5.080526,42,63,82.47896875,145.9439375,0
5.111433,41,63,82.4716375,145.979825,0
5.143497,40,63,82.48516875,146.01665625,0
5.174457,39,63,82.52094375,146.0599,0
5.203937,38,63,82.46289375,146.08109375,0
5.234753,36,63,82.37328125,146.1555375,0
5.265595,34,63,82.3844625,146.10923125,0
5.296439,32,63,82.45073125,145.89365625,0
5.328697,30,63,82.4989,145.65578125,0
5.360387,28,63,82.97625625,145.52700625,0
5.38992,27,63,83.19645,145.54178125,0
5.419732,25,63,83.19738125,145.5812375,0
5.452001,24,63,83.195425,145.64256875,0
5.482977,22,63,83.2594,145.6742375,0
5.512397,21,63,82.99874375,145.74198125,0
5.543265,20,63,82.941825,145.8307,0
5.574127,20,63,82.8415,145.92665,0
5.604825,19,63,82.8603875,145.932025,0
5.637203,19,63,82.7932625,145.90070625,0
5.666731,19,63,82.816675,145.8613,0
5.697488,19,63,82.77481875,145.79013125,0
5.728298,19,63,82.789175,145.76689375,0
5.760074,20,63,82.79741875,145.81874375,0
5.791374,20,63,82.8050375,145.8331375,0
5.822978,21,63,82.3196,145.91151875,0
5.854102,21,63,82.1277125,145.98058125,0
5.882594,22,63,82.06845,146.09033125,0
5.913369,23,63,82.0051625,146.160625,0
5.945732,27,63,81.9508125,146.23519375,0
5.975106,33,63,82.3126875,146.29303125,0
6.005955,40,63,82.4225875,146.3340625,0
6.036816,50,63,82.47353125,146.380025,0
6.067566,60,63,82.4375125,146.3739625,0
6.099852,70,63,82.4363,146.35335625,0
6.129357,78,63,82.1141875,146.395025,0
6.161493,83,63,82.19266875,146.45726875,0
6.190988,85,63,82.0445,146.5658625,0
6.221846,85,63,82.01691875,146.51370625,0
6.254407,84,63,82.01560625,146.41320625,0
